concurrency_level,trial_id,thread_id,status_code,result_type,latency_ms
5,46,3,409,CONFLICT_409,0.0729
5,46,1,409,CONFLICT_409,0.0308
5,46,0,409,CONFLICT_409,0.0217
5,47,4,200,SUCCESS_ACCEPTED,0.2208
5,47,0,409,CONFLICT_409,0.0224
5,47,3,409,CONFLICT_409,0.0386
5,47,2,409,CONFLICT_409,0.0165
5,47,1,409,CONFLICT_409,0.0278
5,48,4,200,SUCCESS_ACCEPTED,0.2048
5,48,1,409,CONFLICT_409,0.0412
5,48,0,409,CONFLICT_409,0.0347
5,48,3,409,CONFLICT_409,0.0429
5,48,2,409,CONFLICT_409,0.0352
5,49,4,200,SUCCESS_ACCEPTED,0.1654
5,49,0,409,CONFLICT_409,0.0207
5,49,2,409,CONFLICT_409,0.0132
5,49,3,409,CONFLICT_409,0.0114
5,49,1,409,CONFLICT_409,0.0112
5,50,4,200,SUCCESS_ACCEPTED,0.2763
5,50,1,409,CONFLICT_409,0.0363
5,50,3,409,CONFLICT_409,0.0303
5,50,2,409,CONFLICT_409,0.0256
5,50,0,409,CONFLICT_409,0.0212
10,1,9,200,SUCCESS_ACCEPTED,0.287
10,1,2,409,CONFLICT_409,0.0356
10,1,6,409,CONFLICT_409,0.021
10,1,4,409,CONFLICT_409,0.0207
10,1,7,409,CONFLICT_409,0.0178
10,1,8,409,CONFLICT_409,0.0152
10,1,5,409,CONFLICT_409,0.0181
10,1,1,409,CONFLICT_409,0.0192
10,1,3,409,CONFLICT_409,0.0182
10,1,0,409,CONFLICT_409,0.0194
10,2,9,200,SUCCESS_ACCEPTED,0.2104
10,2,2,409,CONFLICT_409,0.0213
10,2,1,409,CONFLICT_409,0.0132
10,2,3,409,CONFLICT_409,0.0349
10,2,7,409,CONFLICT_409,0.0166
10,2,4,409,CONFLICT_409,0.013
10,2,0,409,CONFLICT_409,0.0116
10,2,6,409,CONFLICT_409,0.0115
10,2,5,409,CONFLICT_409,0.01
10,2,8,409,CONFLICT_409,0.0386
10,3,9,200,SUCCESS_ACCEPTED,0.2057
10,3,0,409,CONFLICT_409,0.0202
10,3,4,409,CONFLICT_409,0.0638
10,3,5,409,CONFLICT_409,0.0187
10,3,6,409,CONFLICT_409,0.012
10,3,7,409,CONFLICT_409,0.0096
10,3,8,409,CONFLICT_409,0.0115
10,3,3,409,CONFLICT_409,0.01
10,3,1,409,CONFLICT_409,0.0095
10,3,2,409,CONFLICT_409,0.0435
10,4,9,200,SUCCESS_ACCEPTED,0.2567
10,4,2,409,CONFLICT_409,0.0197
10,4,4,409,CONFLICT_409,0.013
10,4,1,409,CONFLICT_409,0.0103
10,4,6,409,CONFLICT_409,0.011
10,4,7,409,CONFLICT_409,0.0101
10,4,3,409,CONFLICT_409,0.0145
10,4,8,409,CONFLICT_409,0.008
10,4,0,409,CONFLICT_409,0.0635
10,4,5,409,CONFLICT_409,0.0159
10,5,9,200,SUCCESS_ACCEPTED,0.1279
10,5,1,409,CONFLICT_409,0.0283
10,5,0,409,CONFLICT_409,0.0134
10,5,4,409,CONFLICT_409,0.0122
10,5,2,409,CONFLICT_409,0.0122
10,5,7,409,CONFLICT_409,0.0101
10,5,6,409,CONFLICT_409,0.01
10,5,5,409,CONFLICT_409,0.0096
10,5,8,409,CONFLICT_409,0.01
10,5,3,409,CONFLICT_409,0.0535
10,6,9,200,SUCCESS_ACCEPTED,0.261
10,6,0,409,CONFLICT_409,0.0202
10,6,1,409,CONFLICT_409,0.0131
10,6,6,409,CONFLICT_409,0.0318
10,6,3,409,CONFLICT_409,0.0151
10,6,7,409,CONFLICT_409,0.0121
10,6,2,409,CONFLICT_409,0.0112
10,6,4,409,CONFLICT_409,0.0119
10,6,8,409,CONFLICT_409,0.0113
10,6,5,409,CONFLICT_409,0.009
10,7,9,200,SUCCESS_ACCEPTED,0.1682
10,7,0,409,CONFLICT_409,0.0199
10,7,4,409,CONFLICT_409,0.0543
10,7,6,409,CONFLICT_409,0.0146
10,7,2,409,CONFLICT_409,0.012
10,7,5,409,CONFLICT_409,0.011
10,7,7,409,CONFLICT_409,0.0094
10,7,1,409,CONFLICT_409,0.0114
10,7,3,409,CONFLICT_409,0.0105
10,7,8,409,CONFLICT_409,0.0106
10,8,9,200,SUCCESS_ACCEPTED,0.2963
10,8,1,409,CONFLICT_409,0.0377
10,8,2,409,CONFLICT_409,0.0274
10,8,3,409,CONFLICT_409,0.025
10,8,6,409,CONFLICT_409,0.1086
10,8,4,409,CONFLICT_409,0.036
10,8,7,409,CONFLICT_409,0.0333
10,8,0,409,CONFLICT_409,0.0221
10,8,5,409,CONFLICT_409,0.0198
10,8,8,409,CONFLICT_409,0.0205
10,9,9,200,SUCCESS_ACCEPTED,0.3107
10,9,0,409,CONFLICT_409,0.0853
10,9,1,409,CONFLICT_409,0.0383
10,9,2,409,CONFLICT_409,0.0314
10,9,3,409,CONFLICT_409,0.028
10,9,4,409,CONFLICT_409,0.0253
10,9,5,409,CONFLICT_409,0.0247
10,9,6,409,CONFLICT_409,0.0236
10,9,7,409,CONFLICT_409,0.0218
10,9,8,409,CONFLICT_409,0.0235
10,10,9,200,SUCCESS_ACCEPTED,0.2904
10,10,2,409,CONFLICT_409,0.0638
10,10,1,409,CONFLICT_409,0.0302
10,10,3,409,CONFLICT_409,0.026
10,10,4,409,CONFLICT_409,0.0238
10,10,5,409,CONFLICT_409,0.0213
10,10,6,409,CONFLICT_409,0.0215
10,10,0,409,CONFLICT_409,0.021
10,10,7,409,CONFLICT_409,0.1277
10,10,8,409,CONFLICT_409,0.0346
10,11,9,200,SUCCESS_ACCEPTED,0.4301
10,11,0,409,CONFLICT_409,0.0746
10,11,3,409,CONFLICT_409,0.0387
10,11,2,409,CONFLICT_409,0.0213
10,11,1,409,CONFLICT_409,0.0158
10,11,7,409,CONFLICT_409,0.0159
10,11,5,409,CONFLICT_409,0.0429
10,11,8,409,CONFLICT_409,0.0185
10,11,4,409,CONFLICT_409,0.0499
10,11,6,409,CONFLICT_409,0.016
10,12,9,200,SUCCESS_ACCEPTED,0.3061
10,12,0,409,CONFLICT_409,0.0233
10,12,3,409,CONFLICT_409,0.0171
10,12,1,409,CONFLICT_409,0.0131
10,12,6,409,CONFLICT_409,0.0136
10,12,7,409,CONFLICT_409,0.0122
10,12,8,409,CONFLICT_409,0.0136
10,12,2,409,CONFLICT_409,0.0099
10,12,4,409,CONFLICT_409,0.0105
10,12,5,409,CONFLICT_409,0.0108
10,13,9,200,SUCCESS_ACCEPTED,0.3536
10,13,3,409,CONFLICT_409,0.0396
10,13,6,409,CONFLICT_409,0.0302
10,13,2,409,CONFLICT_409,0.0267
10,13,1,409,CONFLICT_409,0.0235
10,13,7,409,CONFLICT_409,0.0231
10,13,5,409,CONFLICT_409,0.0212
10,13,4,409,CONFLICT_409,0.0209
10,13,8,409,CONFLICT_409,0.0231
10,13,0,409,CONFLICT_409,0.0209
10,14,9,200,SUCCESS_ACCEPTED,0.3268
10,14,0,409,CONFLICT_409,0.0442
10,14,5,409,CONFLICT_409,0.0315
10,14,2,409,CONFLICT_409,0.0262
10,14,3,409,CONFLICT_409,0.0254
10,14,4,409,CONFLICT_409,0.0721
10,14,1,409,CONFLICT_409,0.0357
10,14,7,409,CONFLICT_409,0.0981
10,14,8,409,CONFLICT_409,0.0383
10,14,6,409,CONFLICT_409,0.0309
10,15,3,409,CONFLICT_409,0.0911
10,15,5,409,CONFLICT_409,0.0171
10,15,9,200,SUCCESS_ACCEPTED,0.4548
10,15,2,409,CONFLICT_409,0.0159
10,15,8,409,CONFLICT_409,0.0683
10,15,1,409,CONFLICT_409,0.0172
10,15,0,409,CONFLICT_409,0.0251
10,15,6,409,CONFLICT_409,0.015
10,15,7,409,CONFLICT_409,0.0121
